project_id,district,state,work_type,sanctioned_amount,spent_amount,physical_progress,planned_days,actual_days,inspection_count,latitude,longitude
MPL001,Jorhat,Assam,Road,1433912,1142283,61,215,195,7,26.8392,94.3998
MPL002,Guntur,Andhra Pradesh,Drainage,4039336,2067812,62,201,184,6,16.3373,80.5445
MPL003,Ahmedabad,Gujarat,School Building,4019187,2731775,74,232,279,2,23.1216,72.4915
MPL004,Thane,Maharashtra,Drainage,2306182,1247377,81,284,240,8,19.2702,73.1317
MPL005,Aurangabad,Maharashtra,Road,4353935,2394361,94,283,237,4,19.9149,75.4456
MPL006,Kozhikode,Kerala,School Building,2411749,2156317,78,209,257,5,11.2355,75.9475
MPL007,Vizianagaram,Andhra Pradesh,Drainage,3605303,2104786,82,226,260,7,18.167,83.2345
MPL008,Agra,Uttar Pradesh,Library,2553622,1748986,70,228,295,7,27.0365,77.9202
MPL009,Ambala,Haryana,Drainage,969241,803230,74,251,251,2,30.5848,76.8103
MPL010,Coimbatore,Tamil Nadu,Drainage,3139709,2393009,73,292,362,7,10.8382,76.7756
MPL011,Warangal,Telangana,Library,2704036,1815418,97,294,288,3,17.9657,79.722
MPL012,Cuttack,Odisha,Community Hall,1419803,1066241,69,306,336,5,20.5104,85.867
MPL013,Patna,Bihar,Road,596309,460758,67,226,267,4,25.4909,84.9667
MPL014,Bhopal,Madhya Pradesh,School Building,2709467,2180538,92,349,438,8,23.4307,77.4164
MPL015,East Godavari,Andhra Pradesh,Library,1782108,1434604,83,90,98,5,16.8064,81.7355
MPL016,Visakhapatnam,Andhra Pradesh,School Building,3079615,1611162,75,130,109,5,17.9258,83.2349
MPL017,Jodhpur,Rajasthan,Library,1577025,1385794,90,174,162,8,26.4711,73.2388
MPL018,Chennai,Tamil Nadu,Community Hall,2187377,1442787,79,281,286,6,12.8932,80.133
MPL019,Sri Potti Sriramulu Nellore,Andhra Pradesh,Library,676448,488103,97,202,162,7,14.3071,80.1892
MPL020,Dakshina Kannada,Karnataka,School Building,3271835,3044720,54,232,566,1,13.0564,75.0097
MPL021,NTR,Andhra Pradesh,Road,1291262,985998,66,271,274,5,16.5929,80.8901
MPL022,Gautam Buddha Nagar,Uttar Pradesh,Community Hall,1008455,797975,85,145,134,3,28.5098,77.3519
MPL023,Varanasi,Uttar Pradesh,Street Lighting,4380805,3722783,75,128,130,8,25.1166,83.05
MPL024,Salem,Tamil Nadu,Road,623797,543044,65,211,186,5,11.5212,78.0965
MPL025,Coimbatore,Tamil Nadu,Drainage,1881076,942159,84,289,269,8,10.9094,77.0541
MPL026,Prayagraj,Uttar Pradesh,Road,4582495,2639329,69,201,258,6,25.2163,81.7531
MPL027,YSR Kadapa,Andhra Pradesh,Road,4499591,3904541,92,170,140,6,14.6469,78.6086
MPL028,YSR Kadapa,Andhra Pradesh,Street Lighting,2473033,1355109,85,216,235,2,14.4308,78.8661
MPL029,Muzaffarpur,Bihar,Community Hall,3153902,1834636,76,250,229,5,26.2067,85.2647
MPL030,Rangareddy,Telangana,Road,1108535,757477,60,141,117,3,17.1231,78.646
MPL031,Bhopal,Madhya Pradesh,Drainage,2549206,1565199,83,314,382,7,23.3157,77.6562
